text,label
It arrived late and in bad condition.,negative
It arrived late and in bad condition.,negative
"Terrible service, I will never shop here again.",negative
"Product was damaged when it arrived, very disappointed.",negative
The item broke within a week of use.,negative
"Service was standard, nothing to highlight.",neutral
"Excellent value for money, I'm impressed.",positive
Impressive performance and great service.,positive
"The quality is good, but the delivery was late.",neutral
"Absolutely wonderful experience, highly recommend!",positive
"Delivery time was average, no major issues.",neutral
"Very happy with the purchase, will buy again.",positive
The packaging was great and product exceeded expectations.,positive
"Absolutely wonderful experience, highly recommend!",positive
"Neither good nor bad, just acceptable.",neutral
"The product works flawlessly, highly satisfied.",positive
"Product was damaged when it arrived, very disappointed.",negative
"Neither good nor bad, just acceptable.",neutral
It arrived late and in bad condition.,negative
"Delivery time was average, no major issues.",neutral
"The product matches the description, no surprises.",neutral
Poor quality and unresponsive customer support.,negative
"Great experience overall, five stars.",positive
The packaging was great and product exceeded expectations.,positive
Top-notch quality and fast delivery.,positive
"I loved the product, it's amazing!",positive
Impressive performance and great service.,positive
Impressive performance and great service.,positive
"Great experience overall, five stars.",positive
The color and size were completely wrong.,negative
"Delivery time was average, no major issues.",neutral
"Service was standard, nothing to highlight.",neutral
The color and size were completely wrong.,negative
"The product works flawlessly, highly satisfied.",positive
Impressive performance and great service.,positive
"Service was standard, nothing to highlight.",neutral
Impressive performance and great service.,positive
Satisfied with the product but the price was too high.,neutral
Poor quality and unresponsive customer support.,negative
"Product was damaged when it arrived, very disappointed.",negative
It arrived late and in bad condition.,negative
It arrived late and in bad condition.,negative
"Very happy with the purchase, will buy again.",positive
"Average performance, as expected.",neutral
"Great experience overall, five stars.",positive
"Received a defective item, complete waste of money.",negative
"Very happy with the purchase, will buy again.",positive
"The quality is good, but the delivery was late.",neutral
"Delivery time was average, no major issues.",neutral
"The product works flawlessly, highly satisfied.",positive
"Average performance, as expected.",neutral
"Neither good nor bad, just acceptable.",neutral
Extremely dissatisfied with the experience.,negative
"The quality is good, but the delivery was late.",neutral
"Product was damaged when it arrived, very disappointed.",negative
The customer support was very helpful and polite.,positive
"Service was standard, nothing to highlight.",neutral
"Absolutely wonderful experience, highly recommend!",positive
"Absolutely wonderful experience, highly recommend!",positive
"Service was standard, nothing to highlight.",neutral
"Received a defective item, complete waste of money.",negative
"Delivery time was average, no major issues.",neutral
"The quality is good, but the delivery was late.",neutral
Satisfied with the product but the price was too high.,neutral
Worst purchase I've ever made.,negative
"Very happy with the purchase, will buy again.",positive
"The product works flawlessly, highly satisfied.",positive
"Excellent value for money, I'm impressed.",positive
Top-notch quality and fast delivery.,positive
Impressive performance and great service.,positive
The packaging was great and product exceeded expectations.,positive
"The product matches the description, no surprises.",neutral
Would not recommend this to anyone.,negative
"Packaging was fine, but could be improved.",neutral
"The product matches the description, no surprises.",neutral
The color and size were completely wrong.,negative
"Neither good nor bad, just acceptable.",neutral
"The quality is good, but the delivery was late.",neutral
"The product matches the description, no surprises.",neutral
"The quality is good, but the delivery was late.",neutral
The color and size were completely wrong.,negative
"Very happy with the purchase, will buy again.",positive
"Product was damaged when it arrived, very disappointed.",negative
Impressive performance and great service.,positive
"Average performance, as expected.",neutral
It arrived late and in bad condition.,negative
"The quality is good, but the delivery was late.",neutral
"Received a defective item, complete waste of money.",negative
Worst purchase I've ever made.,negative
"The quality is good, but the delivery was late.",neutral
Poor quality and unresponsive customer support.,negative
"Neither good nor bad, just acceptable.",neutral
It arrived late and in bad condition.,negative
The color and size were completely wrong.,negative
Worst purchase I've ever made.,negative
Impressive performance and great service.,positive
"I loved the product, it's amazing!",positive
It arrived late and in bad condition.,negative
It arrived late and in bad condition.,negative
"Product was damaged when it arrived, very disappointed.",negative
