"#","DISC","Description","Publish Date","Applied Date","Attactment","View Details"
"1","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","20 February, 2025 19:28 PM","Attachments","View Submission"
"2","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","21 February, 2025 12:13 PM","Attachments","View Submission"
"3","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","22 February, 2025 15:42 PM","Attachments","View Submission"
"4","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","22 February, 2025 20:32 PM","Attachments","View Submission"
"5","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","23 February, 2025 11:18 AM","Attachments","View Submission"
"6","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","23 February, 2025 11:35 AM","Attachments","View Submission"
"7","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","25 February, 2025 13:36 PM","Attachments","View Submission"
"8","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","25 February, 2025 13:45 PM","Attachments","View Submission"
"9","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","25 February, 2025 13:56 PM","Attachments","View Submission"
"10","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","25 February, 2025 14:04 PM","Attachments","View Submission"
"11","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","25 February, 2025 14:14 PM","Attachments","View Submission"
"12","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","25 February, 2025 14:22 PM","Attachments","View Submission"
"13","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","25 February, 2025 14:33 PM","Attachments","View Submission"
